variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
avgfsht1,MESA_AncilMesaFMD,AVERAGE FRAME SHIFT,NUMERIC,,,,phv00090137.v2,phs000209.v13
editfw1,MESA_AncilMesaFMD,NUMBER OF FAR WALL EDITS,NUMERIC,,,,phv00090140.v2,phs000209.v13
editnw1,MESA_AncilMesaFMD,NUMBER OF NEAR WALL EDITS,NUMERIC,,,,phv00090139.v2,phs000209.v13
maxcsht1,MESA_AncilMesaFMD,MAXIMUM CENTERLINE SHIFT,NUMERIC,,,,phv00090136.v2,phs000209.v13
maxd1,MESA_AncilMesaFMD,MAXIMUM DILATION DURING DILATION PHASE (MM),NUMERIC,mm,,,phv00090122.v2,phs000209.v13
nonfrsbl1,MESA_AncilMesaFMD,TOTAL NUMBER OF BASELINE FRAMES,NUMERIC,,,,phv00090133.v2,phs000209.v13
nonfrsdil1,MESA_AncilMesaFMD,TOTAL NUMBER OF RESPONSE FRAMES,NUMERIC,,,,phv00090135.v2,phs000209.v13
postbl1,MESA_AncilMesaFMD,POST-BASELINE DIAMETER (MM),NUMERIC,mm,,,phv00090125.v2,phs000209.v13
postblauc1,MESA_AncilMesaFMD,AREA UNDER CURVE POST-BASELINE,NUMERIC,,,,phv00090131.v2,phs000209.v13
postblpc1,MESA_AncilMesaFMD,PERCENT CHANGE POST-BASELINE,NUMERIC,,,,phv00090129.v2,phs000209.v13
postfmd1c,MESA_AncilMesaFMD,POST-BASELINE FMD (MM),NUMERIC,mm,,,phv00090127.v2,phs000209.v13
prebl1,MESA_AncilMesaFMD,PRE-BASELINE DIAMETER (MM),NUMERIC,mm,,,phv00090124.v2,phs000209.v13
preblauc1,MESA_AncilMesaFMD,AREA UNDER CURVE PRE-BASELINE,NUMERIC,,,,phv00090130.v2,phs000209.v13
preblpc1,MESA_AncilMesaFMD,PERCENT CHANGE PRE-BASELINE,NUMERIC,,,,phv00090128.v2,phs000209.v13
prefmd1c,MESA_AncilMesaFMD,PRE-BASELINE FMD (MM),NUMERIC,mm,,,phv00090126.v2,phs000209.v13
pweight1,MESA_AncilMesaFMD,WEIGHTING FACTOR,NUMERIC,,,,phv00090141.v2,phs000209.v13
sdfsht1,MESA_AncilMesaFMD,STANDARD DEVIATION FRAME SHIFT,NUMERIC,,,,phv00090138.v2,phs000209.v13
sidno,MESA_AncilMesaFMD,SHARE ID NUMBER,NUMERIC,,,,phv00090121.v2,phs000209.v13
t2maxd1,MESA_AncilMesaFMD,TIME TO MAXIMUM DILATION (SECONDS),NUMERIC,seconds,,,phv00090123.v2,phs000209.v13
totfrsbl1,MESA_AncilMesaFMD,NUMBER OF FRAMES DELETED FROM BASELINE,NUMERIC,,,,phv00090132.v2,phs000209.v13
totfrsdil1,MESA_AncilMesaFMD,NUMBER OF FRAMES DELETED FROM RESPONSE,NUMERIC,,,,phv00090134.v2,phs000209.v13
cachrt1a,MESA_AncilMesaFetuinA,RANDOM COHORT AND CASES NOT IN COHORT,Numeric,,1=RANDOM COHORT|2=INCIDENT DM NOT IN COHORT|3=CVD HARD NOT IN COHORT|4=CVD HARD AND INCIDENT DM NOT IN COHORT,4,phv00165066.v1,phs000209.v13
calc1a,MESA_AncilMesaFetuinA,CALCIUM (mg/dL),Numeric,mg/dL,,,phv00165062.v1,phs000209.v13
cvdh1a,MESA_AncilMesaFetuinA,"CARDIOVASCULAR DISEASE (CVD), HARD",Numeric,,0=NO|1=YES,2,phv00165065.v1,phs000209.v13
fetu1a,MESA_AncilMesaFetuinA,FETUIN A (g/L),Numeric,g/L,,,phv00165063.v1,phs000209.v13
indm1a,MESA_AncilMesaFetuinA,"INCIDENT DIABETES MELLITUS EXAM 2, 3, 4",Numeric,,"0=NO DM|1=INCIDENT DM|9=PREVALENT DM|98=MISSING DM INFO AT EXAM 2, 3, 4|99=MISSING PREV DM",5,phv00165067.v1,phs000209.v13
phoadj1a,MESA_AncilMesaFetuinA,ADJUSTED PHOSPHOROUS (PHOSPHOROUS + 0.2218) (mg/dL),Numeric,mg/dL,,,phv00165064.v1,phs000209.v13
sidno,MESA_AncilMesaFetuinA,SHARE ID NUMBER,Numeric,,,,phv00165061.v1,phs000209.v13
ggtul1,MESA_AncilMesaGGT,GAMMA-GLUTAMYLTRANSFERASE (uL),Numeric,uL,,,phv00195576.v1,phs000209.v13
ggtul1m,MESA_AncilMesaGGT,MISSING VALUE: GAMMA-GLUTAMYLTRANSFERASE,Numeric,,-888=INSUFFICIENT VOLUME|-555=HIGH > 200 (uL)|-333=LOW < 0.27 (uL),3,phv00195577.v1,phs000209.v13
sidno,MESA_AncilMesaGGT,SHARE ID NUMBER,Numeric,,,,phv00195575.v1,phs000209.v13
glyca1,MESA_AncilMesaGlycA,GlycA Concentration (umol/L) from NMR Spectral Analysis,NUMERIC,umol/L,,,phv00219005.v1,phs000209.v13
glyca1m,MESA_AncilMesaGlycA,GlycA Concentration: Missing Value,NUMERIC,,1=DNR,1,phv00219006.v1,phs000209.v13
glycacom1,MESA_AncilMesaGlycA,GlycA Lab Comments,STRING,,,,phv00219007.v1,phs000209.v13
sidno,MESA_AncilMesaGlycA,SHARE ID Number,NUMERIC,,,,phv00219004.v1,phs000209.v13
il10a1,MESA_AncilMesaIL10,INTERLEUKIN-10,NUMERIC,pg/mL,,,phv00142666.v2,phs000209.v13
il10a1m,MESA_AncilMesaIL10,MISSING INTERLEUKIN-10 VALUE: REASON,NUMERIC,,"-555=High > 10,000|-333=Low < 0.13",2,phv00142667.v2,phs000209.v13
il10comm,MESA_AncilMesaIL10,INTERLEUKIN-10 COMMENTS,STRING,,,,phv00142668.v2,phs000209.v13
sidno,MESA_AncilMesaIL10,SHARE ID Number,NUMERIC,,,,phv00142665.v2,phs000209.v13
abbaspha,MESA_AncilMesaInflammation,BASOPHIL COUNT  x10^3/ul,NUMERIC,x10^3/ul,,,phv00128700.v1,phs000209.v13
abbasphm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: BASOPHIL COUNT  x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality|-333=Undetectable Low|-222=Assay was run but data is not yet reportable,3,phv00128701.v1,phs000209.v13
abeospha,MESA_AncilMesaInflammation,EOSINOPHIL COUNT  x10^3/ul,NUMERIC,x10^3/ul,,,phv00128702.v1,phs000209.v13
abeosphm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: EOSINOPHIL COUNT  x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality|-333=Undetectable Low|-222=Assay was run but data is not yet reportable,3,phv00128703.v1,phs000209.v13
ablympha,MESA_AncilMesaInflammation,LYMPHOCYTE COUNT  x10^3/ul,NUMERIC,x10^3/ul,,,phv00128704.v1,phs000209.v13
ablymphm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: LYMPHOCYTE COUNT  x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality|-333=Undetectable Low|-222=Assay was run but data is not yet reportable,3,phv00128705.v1,phs000209.v13
abmoncya,MESA_AncilMesaInflammation,MONOCYTE COUNT  x10^3/ul,NUMERIC,x10^3/ul,,,phv00128706.v1,phs000209.v13
abmoncym,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: MONOCYTE COUNT  x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128707.v1,phs000209.v13
abneupha,MESA_AncilMesaInflammation,NEUTROPHIL COUNT x10^3/ul,NUMERIC,x10^3/ul,,,phv00128708.v1,phs000209.v13
abneuphm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: NEUTROPHIL COUNT x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128709.v1,phs000209.v13
difcomma,MESA_AncilMesaInflammation,DIFFERENTIAL  COMMENTS,NUMERIC,,,,phv00128710.v1,phs000209.v13
difftypa,MESA_AncilMesaInflammation,DIFFERENTIAL TYPE,String,,,,phv00128711.v1,phs000209.v13
epc10kla,MESA_AncilMesaInflammation,NUMBER OF ENDOTHELIAL PROGENITOR CELLS PER 10000 LYMPHOCYTES,NUMERIC,,,,phv00128712.v1,phs000209.v13
epc10klm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: NUMBER OF ENDOTHELIAL PROGENITOR CELLS PER 10000 LYMPHOCYTES,NUMERIC,,-888=Sample was received but there was insufficient Sample volume for testing,1,phv00128713.v1,phs000209.v13
epcbla,MESA_AncilMesaInflammation,"ESTIMATED % B CELLS, AS PERCENT OF LYMPHOCYTES",NUMERIC,,,,phv00128714.v1,phs000209.v13
epcblm,MESA_AncilMesaInflammation,"REASON FOR MISSING DATA: ESTIMATED % B CELLS, AS PERCENT OF LYMPHOCYTES",NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128715.v1,phs000209.v13
epccd8la,MESA_AncilMesaInflammation,"ESTIMATED %CD8, AS A PERCENT OF LYMPHOCYTES",NUMERIC,,,,phv00128716.v1,phs000209.v13
epccd8lm,MESA_AncilMesaInflammation,"REASON FOR MISSING DATA: ESTIMATED %CD8, AS A PERCENT OF LYMPHOCYTES",NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128717.v1,phs000209.v13
epccd8ma,MESA_AncilMesaInflammation,ESTIMATED PERCENT OF LYMPHOCYTES THAT ARE CD8+ MEMORY CELLS,NUMERIC,,,,phv00128718.v1,phs000209.v13
epccd8mm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: ESTIMATED PERCENT OF LYMPHOCYTES THAT ARE CD8+ MEMORY CELLS,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128719.v1,phs000209.v13
epccd8na,MESA_AncilMesaInflammation,ESTIMATED PERCENT OF LYMPHOCYTES THAT ARE CD8+ NAIVE CELLS,NUMERIC,,,,phv00128720.v1,phs000209.v13
epccd8nm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: ESTIMATED PERCENT OF LYMPHOCYTES THAT ARE CD8+ NAIVE CELLS,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128721.v1,phs000209.v13
epcwba,MESA_AncilMesaInflammation,NUMBER OF ENDOTHELIAL PROGENITOR CELLS PER UL OF WHOLE BLOOD,NUMERIC,,,,phv00128722.v1,phs000209.v13
epcwbm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: NUMBER OF ENDOTHELIAL PROGENITOR CELLS PER UL OF WHOLE BLOOD,NUMERIC,,-888=Sample was received but there was insufficient sample volume for testing,1,phv00128723.v1,phs000209.v13
hctdifa,MESA_AncilMesaInflammation,"HEMATOCRIT FROM CBC DIFFERENTIAL, %",NUMERIC,,,,phv00128724.v1,phs000209.v13
hctdifm,MESA_AncilMesaInflammation,"REASON FOR MISSING DATA: HEMATOCRIT FROM CBC DIFFERENTIAL, %",NUMERIC,,-444=Poor sample/assay quality,1,phv00128725.v1,phs000209.v13
heheppla,MESA_AncilMesaInflammation,INDICATION OF HEMOLYZED PLASMA WHICH MAY INDICATE PROBLEM WITH SAMPLE,NUMERIC,,,,phv00128726.v1,phs000209.v13
hgbdifa,MESA_AncilMesaInflammation,"HEMOGLOBIN FROM CBC DIFFERENTIAL, gm/dl",NUMERIC,gm/dl,,,phv00128727.v1,phs000209.v13
hgbdifm,MESA_AncilMesaInflammation,"REASON FOR MISSING DATA: HEMOGLOBIN FROM CBC DIFFERENTIAL, gm/dl",NUMERIC,gm/dl,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128728.v1,phs000209.v13
pbmca,MESA_AncilMesaInflammation,ABNORMAL APPEARANCE IN THE PBMC PREP,NUMERIC,,,,phv00128729.v1,phs000209.v13
pccd34pa,MESA_AncilMesaInflammation,PERCENT OF PBMCS THAT ARE CD34 BRIGHT CELLS,NUMERIC,,,,phv00128730.v1,phs000209.v13
pccd34pm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF PBMCS THAT ARE CD34 BRIGHT CELLS,NUMERIC,,-888=Sample was received but there was insufficient sample volume for testing,1,phv00128731.v1,phs000209.v13
pccd3a,MESA_AncilMesaInflammation,PERCENT OF LYMPHOCYTES THAT ARE CD3+  (T CELLS),NUMERIC,,,,phv00128732.v1,phs000209.v13
pccd3m,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF LYMPHOCYTES THAT ARE CD3+  (T CELLS),NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128733.v1,phs000209.v13
pccd4a,MESA_AncilMesaInflammation,PERCENT LYMPHOCYTES IN WHOLE BLOOD THAT ARE CD4+,NUMERIC,,,,phv00128734.v1,phs000209.v13
pccd4m,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT LYMPHOCYTES IN WHOLE BLOOD THAT ARE CD4+,NUMERIC,,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128735.v1,phs000209.v13
pcgda,MESA_AncilMesaInflammation,PERCENT OF LYMPHOCYTES THAT ARE GAMMA DELTA CELLS,NUMERIC,,,,phv00128736.v1,phs000209.v13
pcgdm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF LYMPHOCYTES THAT ARE GAMMA DELTA CELLS,NUMERIC,,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128737.v1,phs000209.v13
pclcd34a,MESA_AncilMesaInflammation,PERCENTAGE OF LYMPHOCYTES THAT ARE CD34 POSITIVE,NUMERIC,,,,phv00128738.v1,phs000209.v13
pclcd34m,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENTAGE OF LYMPHOCYTES THAT ARE CD34 POSITIVE,NUMERIC,,-888=Sample was received but there was insufficient sample volume for testing|-222=Assay was run but data is not yet reportable,2,phv00128739.v1,phs000209.v13
pcmema,MESA_AncilMesaInflammation,PERCENT OF CD4+ CELLS THAT ARE MEMORY CELLS,NUMERIC,,,,phv00128740.v1,phs000209.v13
pcmemm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF CD4+ CELLS THAT ARE MEMORY CELLS,NUMERIC,,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128741.v1,phs000209.v13
pcmotfsa,MESA_AncilMesaInflammation,PERCENT OF MONOCYTES THAT ARE TF+ IN LPS STIMULATED EXPRESSION ASSAY,NUMERIC,,,,phv00128742.v1,phs000209.v13
pcmotfsm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF MONOCYTES THAT ARE TF+ IN LPS STIMULATED EXPRESSION ASSAY,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128743.v1,phs000209.v13
pcmotfua,MESA_AncilMesaInflammation,PERCENT OF MONOCYTES THAT ARE TF+ IN UNSTIMULATED EXPRESSION ASSAY,NUMERIC,,,,phv00128744.v1,phs000209.v13
pcmotfum,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF MONOCYTES THAT ARE TF+ IN UNSTIMULATED EXPRESSION ASSAY,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128745.v1,phs000209.v13
pcnaiva,MESA_AncilMesaInflammation,PERCENT OF CD4+ CELLS THAT ARE NAIVE CELLS,NUMERIC,,,,phv00128746.v1,phs000209.v13
pcnaivm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF CD4+ CELLS THAT ARE NAIVE CELLS,NUMERIC,,-444=Poor sample/assay quality|-222=Assay was run but data is not yet reportable,2,phv00128747.v1,phs000209.v13
pcnka,MESA_AncilMesaInflammation,PERCENT OF LYMPHOCYTES THAT ARE NATURAL KILLER CELLS,NUMERIC,,,,phv00128748.v1,phs000209.v13
pcnkm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF LYMPHOCYTES THAT ARE NATURAL KILLER CELLS,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128749.v1,phs000209.v13
pctcd4a,MESA_AncilMesaInflammation,PERCENT  OF LYMPHOCYTES IN PBMC PREP THAT ARE CD4+,NUMERIC,,,,phv00128750.v1,phs000209.v13
pctcd4m,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT  OF LYMPHOCYTES IN PBMC PREP THAT ARE CD4+,NUMERIC,,-888=Sample was received but there was insufficient sample volume for testing|-222=Assay was run but data is not yet reportable,2,phv00128751.v1,phs000209.v13
pctmonsa,MESA_AncilMesaInflammation,PERCENT OF TOTAL CELLS THAT ARE MONOCYTES IN LPS STIMULATED EXPRESSION ASSAY,NUMERIC,,,,phv00128752.v1,phs000209.v13
pctmonsm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF TOTAL CELLS THAT ARE MONOCYTES IN LPS STIMULATED EXPRESSION ASSAY,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128753.v1,phs000209.v13
pctmonua,MESA_AncilMesaInflammation,PERCENT OF TOTAL CELLS THAT ARE MONOCYTES IN UNSTIMULATED EXPRESSION ASSAY,NUMERIC,,,,phv00128754.v1,phs000209.v13
pctmonum,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF TOTAL CELLS THAT ARE MONOCYTES IN UNSTIMULATED EXPRESSION ASSAY,NUMERIC,,-222=Assay was run but data is not yet reportable,1,phv00128755.v1,phs000209.v13
pctth1a,MESA_AncilMesaInflammation,PERCENT OF CD4+  LYMPHOCYTES THAT ARE TH1 CELLS.,NUMERIC,,,,phv00128756.v1,phs000209.v13
pctth1m,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF CD4+  LYMPHOCYTES THAT ARE TH1 CELLS.,NUMERIC,,-888=Sample was received but there was insufficient sample volume for testing|-222=Assay was run but data is not yet reportable,2,phv00128757.v1,phs000209.v13
pctth2a,MESA_AncilMesaInflammation,PERCENT OF CD4+ LYMPHOCYTES THAT ARE TH2.,NUMERIC,,,,phv00128758.v1,phs000209.v13
pctth2m,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PERCENT OF CD4+ LYMPHOCYTES THAT ARE TH2.,NUMERIC,,-888=Sample was received but there was insufficient sample volume for testing|-222=Assay was run but data is not yet reportable,2,phv00128759.v1,phs000209.v13
pltca,MESA_AncilMesaInflammation,PLATELET COUNT x10^3/ul,NUMERIC,x10^3/ul,,,phv00128760.v1,phs000209.v13
pltcm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: PLATELET COUNT x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality,1,phv00128761.v1,phs000209.v13
rbcdifa,MESA_AncilMesaInflammation,"RED BLOOD CELL COUNT FROM CBC DIFFERENTIAL, m/cmm",NUMERIC,m/cmm,,,phv00128762.v1,phs000209.v13
rbcdifm,MESA_AncilMesaInflammation,"REASON FOR MISSING DATA: RED BLOOD CELL COUNT FROM CBC DIFFERENTIAL, m/cmm",NUMERIC,m/cmm,-444=Poor sample/assay quality,1,phv00128763.v1,phs000209.v13
sidno,MESA_AncilMesaInflammation,SHARE ID Number,NUMERIC,,,,phv00128699.v1,phs000209.v13
wbca,MESA_AncilMesaInflammation,WHITE BLOOD CELL COUNT x10^3/ul,NUMERIC,x10^3/ul,,,phv00128764.v1,phs000209.v13
wbcm,MESA_AncilMesaInflammation,REASON FOR MISSING DATA: WHITE BLOOD CELL COUNT x10^3/ul,NUMERIC,x10^3/ul,-444=Poor sample/assay quality,1,phv00128765.v1,phs000209.v13
cam1a,MESA_AncilMesaLpPLA2,LIPOPROTEIN-ASSOCIATED PHOSPHOLIPASE A2: ACTIVITY,Numeric,nmol/min/mL,,,phv00165052.v1,phs000209.v13
cam1m,MESA_AncilMesaLpPLA2,LP-PLA2 ACTIVITY: MISSING VALUE REASON,Numeric,,1=NON REPORTABLE|2=SNS,2,phv00165053.v1,phs000209.v13
cbal1a,MESA_AncilMesaLpPLA2,CBAL NUMBER,Numeric,,,,phv00165047.v1,phs000209.v13
plac1a,MESA_AncilMesaLpPLA2,LIPOPROTEIN-ASSOCIATED PHOSPHOLIPASE A2: MASS,Numeric,ng/mL,,,phv00165050.v1,phs000209.v13
plac1m,MESA_AncilMesaLpPLA2,LP-PLA2 MASS: MISSING VALUE REASON,Numeric,,1=NON REPORTABLE|2=SNS,2,phv00165051.v1,phs000209.v13
plate1a,MESA_AncilMesaLpPLA2,PLATE NUMBER,Numeric,,,,phv00165048.v1,phs000209.v13
sidno,MESA_AncilMesaLpPLA2,SHARE ID NUMBER,Numeric,,,,phv00165046.v1,phs000209.v13
well1a,MESA_AncilMesaLpPLA2,WELL NUMBER,String,,,,phv00165049.v1,phs000209.v13
a1at,MESA_AncilMesaLungA1AT,ALPHA-1 ANTI-TRYPSIN (mg/dL),Numeric,mg/dL,,,phv00175968.v1,phs000209.v13
a1atm,MESA_AncilMesaLungA1AT,ALPHA-1 ANTI-TRYPSIN: MISSING VALUE REASON,Numeric,,1=REJECTED- LIPEMIC,1,phv00175969.v1,phs000209.v13
aliquot,MESA_AncilMesaLungA1AT,ALIQUOT,String,,,,phv00175971.v1,phs000209.v13
exam,MESA_AncilMesaLungA1AT,EXAM,Numeric,,1=MESA FAMILY 1|2=MESA EXAM 2|3=MESA EXAM 3|4=MESA EXAM 4,4,phv00175970.v1,phs000209.v13
pitype,MESA_AncilMesaLungA1AT,PROTEINASE INHIBITOR (PI) TYPE,String,,,,phv00175972.v1,phs000209.v13
racegrp,MESA_AncilMesaLungA1AT,RACE GROUP,String,,,,phv00175967.v1,phs000209.v13
sidno,MESA_AncilMesaLungA1AT,SHARE ID Number,Numeric,,,,phv00175966.v1,phs000209.v13
b0_sqrt_wall_area,MESA_AncilMesaLungAirway,Intercept from a model predicting SQRT of wall area from inner_diameter (labelled 'intercept'),Numeric,,,,phv00160596.v2,phs000209.v13
b1_sqrt_wall_area,MESA_AncilMesaLungAirway,Slope from a model predicting SQRT of wall area from inner_diameter (labelled 'inner_diameter'),Numeric,,,,phv00160597.v2,phs000209.v13
core_or_peel,MESA_AncilMesaLungAirway,Is this airway in the 'core' or 'peel' area of the lung?,String,,,,phv00160594.v1,phs000209.v13
inner_diameter,MESA_AncilMesaLungAirway,Inner diameter of largest airway in lower third of lung,Numeric,,,,phv00160590.v1,phs000209.v13
inner_perim,MESA_AncilMesaLungAirway,Inner diameter * 3.14159265,Numeric,,,,phv00168051.v1,phs000209.v13
left_or_right,MESA_AncilMesaLungAirway,Is this airway on the left or right side of the lung?,String,,,,phv00160592.v1,phs000209.v13
outer_diameter,MESA_AncilMesaLungAirway,Outer diameter of largest airway in lower third of lung,Numeric,,,,phv00168050.v1,phs000209.v13
pred_sqrt_wall_area,MESA_AncilMesaLungAirway,Predicted SQRT of wall area,Numeric,,,,phv00160598.v2,phs000209.v13
sidno,MESA_AncilMesaLungAirway,SHARe ID Number,Numeric,,,,phv00160589.v1,phs000209.v13
up_or_mid_or_low,MESA_AncilMesaLungAirway,"Is this airway in the upper, middle or lower third of the lung?",String,,,,phv00160593.v1,phs000209.v13
wa_pct,MESA_AncilMesaLungAirway,Area of wall as a percent of area of airway (from outer diameter),Numeric,,,,phv00160595.v1,phs000209.v13
wall_thickness,MESA_AncilMesaLungAirway,Wall thickness (outer diameter - inner diameter) of largest airway in lower third of lung,Numeric,,,,phv00160591.v1,phs000209.v13
accmana4,MESA_AncilMesaLungSpirometry,INDICATOR OF AN ACCEPTABLE SPIROMETRY PROCEDURE,STRING,,N=NO|Y=YES,2,phv00083682.v2,phs000209.v13
bf2575a4,MESA_AncilMesaLungSpirometry,"INDICATOR THAT FEF25-75 IS NOT IN EXPECTED RANGE:  [200, 9000]",NUMERIC,,0=INSIDE RANGE (ACCEPTABLE)|1=OUTSIDE RANGE,2,phv00083703.v2,phs000209.v13
bfeta4,MESA_AncilMesaLungSpirometry,"INDICATOR THAT FET IS NOT IN EXPECTED RANGE [1, 30.5]",NUMERIC,,0=INSIDE RANGE (ACCEPTABLE)|1=OUTSIDE RANGE,2,phv00083702.v2,phs000209.v13
bfev1a4,MESA_AncilMesaLungSpirometry,"INDICATOR THAT FEV1 IS NOT IN EXPECTED RANGE [400, 7000]",NUMERIC,,0=INSIDE RANGE (ACCEPTABLE)|1=OUTSIDE RANGE,2,phv00083699.v2,phs000209.v13
bfvca4,MESA_AncilMesaLungSpirometry,"INDICATOR THAT FVC IS NOT IN EXPECTED RANGE [500, 7500]",NUMERIC,,0=INSIDE RANGE (ACCEPTABLE)|1=OUTSIDE RANGE,2,phv00083700.v2,phs000209.v13
bpefa4,MESA_AncilMesaLungSpirometry,"INDICATOR THAT PEF IS NOT IN EXPECTED RANGE [500, 16500]",NUMERIC,,0=INSIDE RANGE (ACCEPTABLE)|1=OUTSIDE RANGE,2,phv00083701.v2,phs000209.v13
brnccha4,MESA_AncilMesaLungSpirometry,BRONCHITIS - CHILDREN,NUMERIC,,0=NO|1=YES,2,phv00083814.v2,phs000209.v13
brncfaa4,MESA_AncilMesaLungSpirometry,BRONCHITIS - FATHER,NUMERIC,,0=NO|1=YES,2,phv00083826.v2,phs000209.v13
brncmoa4,MESA_AncilMesaLungSpirometry,BRONCHITIS - MOTHER,NUMERIC,,0=NO|1=YES,2,phv00083830.v2,phs000209.v13
brncsba4,MESA_AncilMesaLungSpirometry,BRONCHITIS - SIBLING,NUMERIC,,0=NO|1=YES,2,phv00083818.v2,phs000209.v13
brncspa4,MESA_AncilMesaLungSpirometry,BRONCHITIS - SPOUSE,NUMERIC,,0=NO|1=YES,2,phv00083822.v2,phs000209.v13
btpsfca4,MESA_AncilMesaLungSpirometry,BTPS FACTOR,NUMERIC,,,,phv00083684.v2,phs000209.v13
calcda4,MESA_AncilMesaLungSpirometry,CALIBRATION CODE,STRING,,,,phv00083686.v2,phs000209.v13
caltma4,MESA_AncilMesaLungSpirometry,CALIBRATION TIME,STRING,,,,phv00083685.v2,phs000209.v13
cgrs1a4,MESA_AncilMesaLungSpirometry,RECODED CIGAR SMK STAT OF EXAM 1,NUMERIC,,,,phv00083845.v2,phs000209.v13
cgry1a4,MESA_AncilMesaLungSpirometry,CIGAR-YEARS OF EXAM 1,NUMERIC,,,,phv00083846.v2,phs000209.v13
cig1ca4,MESA_AncilMesaLungSpirometry,CIGARETTE SMOKING STATUS,NUMERIC,,0=NEVER|1=FORMER|2=CURRENT,3,phv00083843.v2,phs000209.v13
cmpspa4,MESA_AncilMesaLungSpirometry,COMPLETED SPIROMETRY MANEUVER,NUMERIC,,0=NO|1=YES,2,phv00083723.v2,phs000209.v13
compfa4,MESA_AncilMesaLungSpirometry,COMPLETED COMPLETION FORM,NUMERIC,,0=NO|1=YES,2,phv00083748.v2,phs000209.v13
compqa4,MESA_AncilMesaLungSpirometry,COMPLETED QUESTIONNAIRE,NUMERIC,,0=NO|1=YES,2,phv00083813.v2,phs000209.v13
copdcha4,MESA_AncilMesaLungSpirometry,COPD - CHILDREN,NUMERIC,,0=NO|1=YES,2,phv00083816.v2,phs000209.v13
copdfaa4,MESA_AncilMesaLungSpirometry,COPD - FATHER,NUMERIC,,0=NO|1=YES,2,phv00083828.v2,phs000209.v13
copdlla4,MESA_AncilMesaLungSpirometry,COPD- 2005 DEFINITION,NUMERIC,,0=NO COPD|1=YES COPD,2,phv00083850.v2,phs000209.v13
copdmoa4,MESA_AncilMesaLungSpirometry,COPD - MOTHER,NUMERIC,,0=NO|1=YES,2,phv00083832.v2,phs000209.v13
copdsba4,MESA_AncilMesaLungSpirometry,COPD - SIBLING,NUMERIC,,0=NO|1=YES,2,phv00083820.v2,phs000209.v13
copdspa4,MESA_AncilMesaLungSpirometry,COPD - SPOUSE,NUMERIC,,0=NO|1=YES,2,phv00083824.v2,phs000209.v13
