tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
aQO0VmltMn	Address City Name	City	The city or township for the address to describe where a mail piece is intended to be delivered.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25160; NCI Thesaurus:C42614		Project 5 (COVID-19)	Qualified	True
ZqxxvEdcmt	Address County Name	County	A region created by territorial division by a local government  where mail piece is intended to be delivered.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C49292; NCI Thesaurus:C42614		Project 5 (COVID-19)	Qualified	True
elEZcZ9NdL	Address Line 1	Address Line 1	The address where a mail piece is intended to be delivered to a person, including urban-style street address, rural route, and post office box.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25509; NCI Thesaurus:C80230; NCI Thesaurus:C25704		Project 5 (COVID-19)	Qualified	True
pCW788Mqei	Address Line 2	Address Line 2	The additional address text to describe where a mail piece is intended to be delivered.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25666; NCI Thesaurus:C80230; NCI Thesaurus:C25704		Project 5 (COVID-19)	Qualified	True
w_BHatIMoA	Address Postal Code	Postal Code	the address or postal information for a person, the address number indicating a postal district (in the USA this is a 5 or 9 digit number (10 including the hyphen)).	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25621		Project 5 (COVID-19)	Qualified	True
6AT_JFxD1	Address State Code	State	The state for the address to describe where a mail piece is intended to be delivered.	Value List	AL | AK | AZ | AR | CA | CO | CT | DC | DE | FL | GA | HI | ID | IL | IN | IA | KS | KY | LA | ME | MD | MA | MI | MN | MS | MO | MT | NE | NV | NH | NJ | NM | NY | NC | ND | OH | OK | OR | PA | RI | SC | SD | TN | TX | UT | VT | VA | WA | WV | WI | WY | AS | GU | MH | PR | UM | VI	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C87194; NCI Thesaurus:C25162		Project 5 (COVID-19)	Qualified	True
PDjBiGXjO	Age	What is the person's age (in years if more than 24 months old or months if 24 months or younger)?	The number of years (if more than 24 months old) or months (if 24 months or younger) that the person has been alive.	Number		ScHARe > Core	NCI Thesaurus:C25150		ScHARe	Qualified	True
fmMMaUGpKS	Age	What is the person's age?	The length of time that one has existed in completed years, months and days at the time of the event	Number		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25150		Project 5 (COVID-19)	Qualified	True
GNVoEdFQR0	Age Units	Age Unit	The unit of measure (years or months) that represents the person's age.	Value List	Years | Months	ScHARe > Core	NCI Thesaurus:C50400		ScHARe	Qualified	True
s0OB4q7Pxk	Age Units	What is the unit of measure for age?	The unit of measure that represents the person's age.	Value List	Days | Don't Know | Months | Prefer not to answer | Unknown | Weeks | Years	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25150; NCI Thesaurus:C25709		Project 5 (COVID-19)	Qualified	True
_N_myh18QM	Annual Household Income Range	What is your annual household income from all sources within family, not including roommates?	A demographic parameter indicating the amount of earnings made by a family.	Value List	Less than $10,000 | $10,000-$24,999 | $25,000-$34,999 | $35,000-$49,999 | $50,000-$74,999 | $75,000-$99,999 | $100,000-$149,999 | $150,000-$199,999 | $200,000 or more	ScHARe > Core	NCI Thesaurus:C70811		ScHARe	Qualified	True
_qZuIkipzA	Birthplace - Country Outside US	In what country were you born? (A country outside the United States)	The location where someone was born, a country other than USA	File		ScHARe > Core	NCI Thesaurus:C176764; NCI Thesaurus:C25464		ScHARe	Qualified	True
0qP44x2oX	Birthplace - US	Where were you born? (In the United States, including U.S. Territories--Puerto Rico, Guam, U.S. Virgin Islands, American Samoa and Northern Mariana Islands). If you were born outside the US, skip to the next question.	The location where someone was born -                                                 a U.S. state or territory	File		ScHARe > Core	NCI Thesaurus:C176764; NCI Thesaurus:C30010; NCI Thesaurus:C89811		ScHARe	Qualified	True
cRUgcKV8co	CMS Discharge Disposition	What was the patient's CMS discharge status code?	The CMS code specifying the status of the patient after being discharged from the hospital.	Value List	Home | Alternative home | Other healthcare facility | Hospice | Long-term care | Left against advice | Expired | Psychiatric hospital | Rehabilitation | Skilled nursing facility | Other	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25179; NCI Thesaurus:C95516; NCI Thesaurus:C25166; NCI Thesaurus:C41205		Project 5 (COVID-19)	Qualified	True
QnDNUPpXA7	COVID-19 Case Classification	Classification of the diagnosis:	A characterization of the diagnosis on the basis of how the diagnosis was confirmed.	Value List	Lab-confirmed case | Point-of-care Confirmed | Probable Case Based on Clinical and Epidemiologic Evidence | Probable Case Based on Laboratory Results and Clinical or Epidemiologic Evidence | Probable Case Based on Vital Records | Lab-confirmed negative | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C49152; NCI Thesaurus:C25161; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
__b0hlBmCJ	COVID-19 Case Classification Date	What is the date of this diagnosis classification/confirmation?	The date the diagnosis was confirmed.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C49152; NCI Thesaurus:C25161; NCI Thesaurus:C37939		Project 5 (COVID-19)	Qualified	True
OuzUhJWlcv	COVID-19 Complication Occurrence Indicator	For each item:	An indication of whether the patient experienced the complication following the COVID-19 infection.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C2959; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
BunOR2fYwe	COVID-19 Complication Onset Date	When was the onset of the complication?	The date on which the patient first experienced the complication following the COVID-19 infection.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C2959; NCI Thesaurus:C93613		Project 5 (COVID-19)	Qualified	True
UA2HPgkaZm	COVID-19 Complication Onset Date Indicator	Was the complication onset date unknown, or not applicable or not reported?	An indication of whether or not the complication onset date was unknown, or not applicable or not reported.	Value List	Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C2959; NCI Thesaurus:C93613; NCI Thesaurus:C25180		Project 5 (COVID-19)	Qualified	True
il6mzSv2f	COVID-19 Complication Specify Other Type	Other Complication, Specify:	The complication experienced by the patient following a COVID-19 infection but not previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C2959; NCI Thesaurus:C157106; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
F7tUoFbu6W	COVID-19 Complication Type	Did the patient develop any of the following complications as a result of COVID:	The type of complication experienced by the patient following the COVID-19 infection.	Value List	Deep Vein Thrombosis | Pulmonary Embolism | Arterial Thrombosis | Venus Thromboembolism (VTE) | Delirium | Blood Clots | Shock | Bacteremia | Bleeding | Seizure | Meningitis/encephalitis | COVID-19-Associated Acute liver injury | Intestinal perforation | Diarrhea | Peritonitis | Endocarditis | Anemia | Cardiac Arrhythmia | Pneumonia | Pancreatitis | Acute renal failure | Myocarditis/Pericarditis | Liver dysfunction | Bronchiolitis | Cardiomyopathy | Acute respiratory distress syndrome (ARDS) | Stroke: ischemic cerebrovascular accident | Stroke: intracerebral hemorrhage | Kawasaki Disease | Pediatric Multisystem Inflammatory Syndrome (MIS-C) | Multisystem Inflammatory Syndrome in Adults (MIS-A) | Post viral fatigue syndrome | Fibromyalgia/amplified pain syndrome | Deterioration of prior chronic pulmonary diseases | Lung fibrosis | Cardiac Failure | Coronary artery abnormalities | Myositis | Physical disability/muscular weakness | Arthritis | Gastroesophageal reflux disease (GERD) | Diabetic ketoacidosis (DKA) | New onset diabetes | Appendicitis | Toxic shock syndrome | pulmonary aspergillosis | Gastrointestinal hemorrhage | End Stage Renal Disease | Other, Specify	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C2959; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
C6aTX076x7	COVID-19 Disease Severity	What is the COVID-19 severity at time of diagnosis?	An indication of the state of the COVID-19 disease in a person.	Value List	Asymptomatic or Presymptomatic Infection | Mild Illness | Moderate Illness | Severe Illness | Critical Illness | Dead | Unknown | Not Applicable Or Not Reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C25676		Project 5 (COVID-19)	Qualified	True
esCgkKPVWb	COVID-19 Including MIS-C Related Death Indicator	If yes deceased, was the death COVID-19 related (including MIS-C)?	The indicator that describes whether or not the child died with COVID-19 (including MIS-C).	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C166400; NCI Thesaurus:C172127; NCI Thesaurus:C25648; NCI Thesaurus:C28554; NCI Thesaurus:C25180		Project 5 (COVID-19)	Qualified	True
Z0BXaSHGHm	COVID-19 Mental Health Symptom Occurrence Indicator	For each item:	An indication of whether the mental health symptom occurred.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C93187; NCI Thesaurus:C4876; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
O5sNptVACh	COVID-19 Mental Health Symptom Specify Other Type	Other Mental Health Symptom, Specify:	An indication mental health symptoms other than those previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C93187; NCI Thesaurus:C4876; NCI Thesaurus:C157106; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
_W4xHINn6	COVID-19 Mental Health Symptom Type	As a consequence of the COVID-19 pandemic, has the person experienced one or more of the following:	A textual description of the psychological and emotional symptom such as being able to cope with everyday events, think clearly, be responsible, meet challenges, and have good relationships with others.	Value List	Anxiety | Depression | Post-traumatic stress disorder (PTSD) | Suicidal ideation/suicide attempts | Increased substance use | Inability to keep medical appointments | Medication Non-Compliance | Sleep Disorder | Loneliness | Anger | Fatigue | Inattention | Mania | Psychosis | Repetitive thoughts and behaviors | Pain interference | Externalizing symptoms	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C93187; NCI Thesaurus:C4876; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
TmtnpW1Chc	COVID-19 Mitigation Policy - Coverage Area	What is the name of the governing body and/or jurisdiction that implemented the policy?	"<p>The full name of the jurisdiction (e.g. the name of the state, county, or municipality) to which the mitigation policy applies. See URLs for externally-defined lists, below, and see attached PDF for detailed instructions for this CDE.</p>

<p>States: https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.830</p>

<p>Counties: https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.8029</p>

<p>Cities: https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.7512</p>

<p>School districts: https://educationdata.urban.org/api/v1/school-districts/ccd/directory/2020/</p>

<p>If the policy applies to some other geographic area (e.g., a U.S. tribal area), enter &ldquo;Other (please specify)&rdquo;</p>
"	Externally Defined		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; NCIt:C205925		SBE CCC	Qualified	True
e_O4waE1HK	COVID-19 Mitigation Policy - Coverage Area - Specify Other	Other coverage area, specify:	"The full name of the jurisdiction (other than the values listed in ""COVID-19 Mitigation Policy - Coverage Area"") to which the mitigation policy applies."	Text		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; NCIt:C205925; UMLS:C3845569		SBE CCC	Qualified	True
QzvxESqJff	COVID-19 Mitigation Policy - End Date	When was the policy repealed, superseded, or otherwise invalidated?	The date on which a COVID-19 mitigation policy was repealed, superseded, or invalidated.	Date		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0806020		SBE CCC	Qualified	True
ms3VOlqu6	COVID-19 Mitigation Policy - Jurisdiction	What type of governing body and/or jurisdiction implemented the policy?	The type of governing body or jurisdiction (in the U.S.) that is implementing the policy.	Value List	National government | State government | County or parish government | City or municipal government | School district | Tribal government | Other local government	SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0680647		SBE CCC	Qualified	True
1Wg_UlrdKm	COVID-19 Mitigation Policy - Jurisdiction - Specify Other	Other governing body or jurisdiction, specify:	"The type of governing body or jurisdiction (other than the values listed in ""COVID-19 Mitigation Policy - Jurisdiction"") that is implementing the policy."	Text		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0680647; UMLS:C3845569		SBE CCC	Qualified	True
CUGtdPIPnb	COVID-19 Mitigation Policy - Policy Type	What type of COVID-19 mitigation policy was enacted?	The type of COVID-19 mitigation policy that may be enacted by governments and municipalities.	Value List	Mask Policy | Social Distancing Policy | Limit on Gatherings Greater than 10 People | Stay at Home Order | Business Closure Policy | Vaccine Policy | School Closure Policy | Work from Home Policy | Other (please specify)	SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0332307		SBE CCC	Qualified	True
22F3D7VUwm	COVID-19 Mitigation Policy - Policy Type - Specify Other	Other policy type, specify:	"The type of COVID-19 mitigation policy (other than the values listed in ""COVID-19 Mitigation Policy - Policy Type"") that may be enacted by governments and municipalities."	Text		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0332307; UMLS:C3845569		SBE CCC	Qualified	True
k3tAnqwmIN	COVID-19 Mitigation Policy - Regulation Type	What level of regulation does the COVID-19 policy impose?	The type of regulation a reflected in a COVID-19 mitigation policy (i.e., a mandate, guidance, recommendation, or limitation/restriction on future policies).	Value List	Requirement | Recommendation | Limitation | Restriction	SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0851285; UMLS:C0332307		SBE CCC	Qualified	True
3zD_R3149H	COVID-19 Mitigation Policy - Setting	In what location(s) and/or environment(s) is the COVID-19 policy in effect?	The location or environment in which the COVID-19 mitigation policy applies.	Value List	All indoor and outdoor spaces | All indoor spaces | All non-essential businesses | All retail businesses | Bars | Casinos | Day care centers | Gyms | Hair salons and barbershops | Healthcare institutions | Movie theaters | Public transportation | Religious gatherings | Restaurants | Schools | Other (please specify) | Setting not specified	SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0014406; UMLS:C3845569		SBE CCC	Qualified	True
IRuBbZ_giO	COVID-19 Mitigation Policy - Setting - Specify Other	Other setting, specify:	"The location or environment (other than the values listed in ""COVID-19 Mitigation Policy - Setting"") in which the mitigation policy applies."	Text		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0014406; UMLS:C3845569		SBE CCC	Qualified	True
l6wZLu4Fa	COVID-19 Mitigation Policy - Start Date	When did the policy go into effect?	The date on which a COVID-19 mitigation policy was enacted or went into effect.	Date		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0808070		SBE CCC	Qualified	True
NcirKiKTVN	COVID-19 Mitigation Policy - Target Population	Which population(s) and/or group(s) was the COVID-19 policy intended to impact?	The population and/or group(s) for whom a COVID-19 mitigation policy is intended to affect.	Value List	All individuals | Adults | Employees of businesses | Government employees | Healthcare workers | Students | Unvaccinated people | Individuals with chronic conditions | Immunosuppressed individuals | Other (please specify) | Target not specified	SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0039309		SBE CCC	Qualified	True
hrdVaN7PtK	COVID-19 Mitigation Policy - Target Population - Specify Other	Other target population, specify:	"The population and/or group(s) (other than the values listed in ""COVID-19 Mitigation Policy - Target Population - Specify Other"") for whom a COVID-19 mitigation policy is intended to affect."	Text		SBE CCC > SBE CCC	UMLS:C5203676; NCIt:C205783; UMLS:C0039309; UMLS:C3845569		SBE CCC	Qualified	True
ZktF8yi_G8	COVID-19 Psychosocial Symptom Occurrence Indicator	For each item:	An indication of whether the psychosocial symptom occurred.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C17873; NCI Thesaurus:C4876; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
Kh9x8JlcgI	COVID-19 Psychosocial Symptom Specify Other Type	Other Psychosocial Symptom, Specify	A textual description of a person's risk behavior activity other than those previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C17873; NCI Thesaurus:C4876; NCI Thesaurus:C157106; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
SwpF_HE9qU	COVID-19 Psychosocial Symptom Type	As a consequence of the COVID-19 pandemic, has the person been:	A textual description of the physical, psychological, cognitive symptom or social consequence of the disease, including stigmatization of persons affected.	Value List	Worried that COVID-19 will affect their health | Worried about working at home, taking sick leave, or being asked to take sick leave because of COVID-19 | Worried that COVID-19 will make them unable to pay their bills | Staying at home more than they are used to | Worried that if they get sick they will not be able to get good medical care | Comfortable with the amount of preparation for COVID-19 in their community or neighborhood by the local government | Feeling that they have been treated differently because of COVID-19 | Other, Specify	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C17873; NCI Thesaurus:C4876; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
riU6uL7L2	COVID-19 Related Death Indicator	Did this person die having/with COVID-19?	The indicator that describes whether or not the patient died with COVID-19.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C25648; NCI Thesaurus:C28554; NCI Thesaurus:C25180		Project 5 (COVID-19)	Qualified	True
u2WcStRFVX	COVID-19 Specific Medication Specify Other Type	Other COVID-19-Specific Medication, Specify:	Other medications taken to treat the COVID-19 infection than those previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C38024; NCI Thesaurus:C459; NCI Thesaurus:C157106; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
F1cRMBIU5	COVID-19 Specific Medication Type	What medications did the patient take to treat COVID-19?	The type of medication used to treat the COVID-19 infection.	Value List	Ribavirin | Remdesivir | Lopinavir/Ritonavir | Favipiravir | Ivermectin | Hydroxychloroquine | Chloroquine | Tocilizumab | Siltuximab | Azithromycin | Losartan | COVID-19 Convalescent Plasma | Mesenchymal Stem Cell | Intravenous Immunoglobulin Therapy | Anakinra | Heparin | Dexamethasone | Antiplatelets/Aspirin therapy | Enoxaparin | Warfarin | Direct oral anticoagulant (DOAC) | SARS-CoV-2 Monoclonal antibodies | Interferon | Tumor necrosis factor (TNF) inhibitors (i.e. infliximab, etanercept, adalimumab) | NSAID-Ibuprofen | Insulin | Inhaled steroids | Albuterol | Ipratropium | Fludrocortisone | Methylprednisolone | Prednisone/prednisolone | Hydrocortisone | Other, Specify | Unknown	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C38024; NCI Thesaurus:C459; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
EykclEIcuy	COVID-19 Specific Medications Occurrence Indicator	For each item:	An indication of whether the medication was taken.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C38024; NCI Thesaurus:C459; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
hiHHXC9kQB	COVID-19 Treatment or Device Occurrence Indicator	For each item:	An indication of whether the patient received the treatment or device while in the hospital.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C49236; NCI Thesaurus:C37998; NCI Thesaurus:C62103; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
FvAEQhcLTY	COVID-19 Treatment or Device Specify Other Type	Other Treatment or Device, Specify:	A treatment or device received in the hospital not previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C49236; NCI Thesaurus:C37998; NCI Thesaurus:C62103; NCI Thesaurus:C157106; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
DglWc5g5Lj	COVID-19 Treatment or Device Type	Did the patient receive the following for treatment of COVID in the hospital:	The type of treatment or device received in the hospital for treatment of COVID-19.	Value List	Intubation Procedure | Invasive Mechanical Ventilation | Noninvasive Mechanical Ventilation | Extracorporeal Membrane Oxygenation (ECMO) | Pressors | Arterial access/line placement | Cardiopulmonary resuscitation with/without return of spontaneous circulation | Central venous access/line placement | High flow oxygen Therapy | Palliative Therapy | Invasive management of thrombosis (surgical thrombectomy, endovascular thrombectomy, catheter-directed thrombolysis) | Continue Renal Replacement Therapy (CRRT) | Renal Replacement Therapy (RRT) | Mechanical therapeutic hypothermia/targeted temperature | Management Thrombectomy | Pace Maker Placement | Vasoactive medications | Low Flow Oxygen Therapy (e.g. nasal cannula, simple mask, face tent) | Left Ventricular Assist Device (LVAD) | No Treatment | Other, Specify	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C171133; NCI Thesaurus:C49236; NCI Thesaurus:C37998; NCI Thesaurus:C62103; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
cPiK4Amjn5	Category of Health Insurance	Category of Health Insurance?	A textual description of a person's insurance coverage for medical expenses.	Value List	Public (Medicare, Medicaid, Tricare) | Private (purchased directly or through Employment) | Uninsured | Unknown | Preferred Not to Answer	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C157356; NCI Thesaurus:C25372		Project 5 (COVID-19)	Qualified	True
mlJt89Bu14	Chest-X-Ray Result	"Does the patient appear to have an abnormal chest X- ray related to COVID?
(Abnormal as related to COVID – Looking for infiltrates or changes in the lung, not other older issues in the chest x-ray)"	An indication of whether the patient had an abnormal chest X-ray.	Value List	Abnormal | Normal | Unknown | N/A, no chest X-ray done	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25389; NCI Thesaurus:C38101; NCI Thesaurus:C131902; NCI Thesaurus:C20200		Project 5 (COVID-19)	Qualified	True
kSjnTjeV_N	Comorbidity or Underlying Condition Occurrence Indicator	For each item:	An indication of whether the comorbid condition occurred.	Value List	Yes | No | Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C161320; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
G0hugkm3M	Comorbidity or Underlying Condition Specify Other Type	Other Comorbidity, Specify:	A textual description of the person's comorbidity other than those previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C161320; NCI Thesaurus:C157106; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
t4KS6j8lZq	Comorbidity or Underlying Condition Type	Significant underlying medical conditions at the time of COVID-19 testing or diagnosis.	A textual description of the person's comorbidity.	Value List	Alcohol Dependence | Alzheimers | Asthma | Autoimmune/Immuno compromised condition | Cancer | Chronic kidney disease | Chronic liver disease | Chronic oxygen requirement | Congestive heart failure | Coronary disease | Dementia | Diabetes mellitus type I | Diabetes mellitus type II | Seizure Disorder | Hepatitis | Hypertension | Immune deficiency/HIV/AIDS | Multiple Sclerosis | Obesity | Other chronic diseases (specify) | Other Chronic Neurological condition/Nervous system (specify) | Other Chronic respiratory disease or disorders (e.g.COPD, Emphysema) | Psychological and/or psychiatric condition | Substance Use Disease or Disorders | Bronchopulmonary dysplasia (BPD) | Cardiomyopathy | Congenital Heart Disease | Congenital syndromes/anomalies and genetic conditions | Cystic Fibrosis | Down syndrome | Eczema | Feeding tube dependent | Hematopoietic stem cell recipient/bone marrow transplant recipient | History of Kawasaki Disease (not a current diagnosis) | History of MIS-C (not a current diagnosis) | Inflammatory bowel disease | Obstructive sleep apnea | Physical disability (including cerebral palsy) | Pregnancy (if of reproductive age) | Rheumatologic conditions (e.g. rheumatoid arthritis, systemic lupus erythematosus, vasculitis) | Sickle cell disease | Solid organ transplant recipient | Thrombotic disorders | Tracheomalacia | Tourette Syndrome | Depression | Anxiety problems | Autism or Autism Spectrum Disorder (ASD), Aspergers Disorder, Pervasive Developmental Disorder (PDD) | Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD/ADHD) | Chronic fatigue | Post-traumatic stress disorder (PTSD) | Suicidal thoughts or behaviors | Mania or bipolar disorder | Behavioral disorder or conduct problems | Developmental delay | Intellectual disability (formerly known as mental retardation) | Speech or other language disorder | Learning disability	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C161320; NCI Thesaurus:C37998; NCI Thesaurus:C154417; NCI Thesaurus:C25457; NCI Thesaurus:C25284		Project 5 (COVID-19)	Qualified	True
8n2_4wdCZ3	Concomitant Medication Name	Other medications, taken than those taken to treat COVID- 19?	The name that describes the concomitant medication.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25730; NCI Thesaurus:C459; NCI Thesaurus:C25382		Project 5 (COVID-19)	Qualified	True
F6IIcFboHH	Cost Delayed Healthcare Occurrence Indicator	During the past 12 months, was there any time when you needed medical care, but DELAYED IT/DID NOT GET IT because of the cost?	An indication whether the person postponed or did not get any health care because of the expense.	Value List	Yes | No | Don't know | Refused/Not reported | Unknown	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C69088; NCI Thesaurus:C25476; NCI Thesaurus:C160222; NCI Thesaurus:C127786		Project 5 (COVID-19)	Qualified	True
Co2d1RyYS3	Current Educational Attainment	What is the highest grade or level of school you have completed or the highest degree you have received?	A textual description of the grade or highest level of education attained by a human being.	Value List	Never Attended/ Kindergarten Only | 1st Grade | 2nd Grade | 3rd Grade | 4th Grade | 5th Grade | 6th Grade | 7th Grade | 8th Grade | 9th Grade | 10th Grade | 11th Grade | 12th Grade/No HS diploma | GED or Equivalent | HS Graduate | Some College, No Degree | Occupational, Technical, or Vocational Program | Associates Degree - Academic Program | Bachelors Degree (Example: BA, AB, BS, BBA) | Masters Degree (Example:  MA, MS, MEng, MEd, MBA) | Professional Degree (Example: MD, DDS, JD) | Doctoral Degree (Example: PhD, EdD) | Refused to Answer | Dont Know	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C17953		Project 5 (COVID-19)	Qualified	True
ActGcyj35g	Current Pregnancy Due Date	If yes, Due Date	The date on which the person is expected to deliver the baby.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25471; NCI Thesaurus:C25742; NCI Thesaurus:C81247		Project 5 (COVID-19)	Qualified	True
LiUWCWluP	Current Pregnancy Indicator	Are you pregnant now?	A textual description of the person's current pregnancy status.	Value List	Yes | No | Unknown	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25471; NCI Thesaurus:C25742; NCI Thesaurus:C25180		Project 5 (COVID-19)	Qualified	True
wgPM2Ge1Fq	Date of Birth	Patient's Date of Birth	The month, day and year on which the person was born.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C68615		Project 5 (COVID-19)	Qualified	True
FJL5rk6HWK	Date of Chest Examination	What was the date of the imaging examination?	The date of the chest imaging exam.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25389; NCI Thesaurus:C38101; NCI Thesaurus:C131902; NCI Thesaurus:C25164		Project 5 (COVID-19)	Qualified	True
TF6vPKEo5H	Death Date	What was the date of death?	The date of death.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C28554; NCI Thesaurus:C25164		Project 5 (COVID-19)	Qualified	True
